stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1,PA1,LOS CIRUELOS 47,Parada,43.4576488249693,-3.85555763126247,,,,,Europe/Madrid
10,PA10,CUATRO CAMINOS,Parada,43.4587638498046,-3.82538532259084,,,,,Europe/Madrid
99,PA100,LOS CASTROS 39,Parada,43.4724960314191,-3.79209293900641,,,,,Europe/Madrid
100,PA101,LOS CASTROS 23,Parada,43.4732880183678,-3.78791271217829,,,,,Europe/Madrid
101,PA103,LAS ESTACIONES,Parada,43.4591167695794,-3.81075395497855,,,,,Europe/Madrid
102,PA104,CALLE CASTILLA 27,Parada,43.4575008706594,-3.81285327700227,,,,,Europe/Madrid
103,PA105,CALLE CASTILLA 51,Parada,43.4557605431402,-3.817533946692,,,,,Europe/Madrid
104,PA106,CALLE CASTILLA 71,Parada,43.4545723535417,-3.82078517573242,,,,,Europe/Madrid
105,PA107,CALLE CASTILLA 64,Parada,43.453146350609,-3.82493768892471,,,,,Europe/Madrid
106,PA108,PUENTE LA MARGA,Parada,43.452694764383,-3.82774505856727,,,,,Europe/Madrid
107,PA109,JERONIMO SAINZ DE LA MAZA 9,Parada,43.4560471857845,-3.82704379820745,,,,,Europe/Madrid
11,PA11,SAN FERNANDO,Parada,43.4602549664282,-3.8199534076077,,,,,Europe/Madrid
109,PA111,MENENDEZ PELAYO 97,Parada,43.4673013619228,-3.79216289556649,,,,,Europe/Madrid
110,PA112,MENENDEZ PELAYO 61,Parada,43.4667016896395,-3.79595983788604,,,,,Europe/Madrid
111,PA113,VALLICIERGO 7,Parada,43.4647215973614,-3.80033541399032,,,,,Europe/Madrid
112,PA114,SANTA LUCIA 1,Parada,43.4639724054467,-3.80384447007856,,,,,Europe/Madrid
113,PA115,GUEVARA 21,Parada,43.4637344370763,-3.80742315320999,,,,,Europe/Madrid
114,PA116,PLAZA DE LOS REMEDIOS,Parada,43.4627399847095,-3.80867161085099,,,,,Europe/Madrid
115,PA118,JOSE HIERRO 22,Parada,43.4606156156359,-3.82542496460283,,,,,Europe/Madrid
116,PA119,JOSE HIERRO 32,Parada,43.4624208941179,-3.82369373013492,,,,,Europe/Madrid
12,PA12,JESUS DE MONASTERIO 21,Parada,43.4617290137147,-3.81243950472629,,,,,Europe/Madrid
